	SubjectID	ProblemID	FirstCorrect	EverCorrect	time	norm	avg_prior_percent_correct	avg_prior_percent_correct_prob	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	18	19	22
0	S002	10	True	True	0.0	0.0		15.152	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	S002	16	True	True	0.0	0.0	1.0	75.0	-	-	-	-	-	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-
2	S002	18	False	True	16.0	0.85	1.0	40.909	-	-	-	-	-	-	-	-	-	0.0	-	-	-	-	-	0.0	-	-	-
3	S002	22	False	True	5.0	0.7222	0.667	36.364	-	-	-	-	-	-	-	-	-	0.0	-	-	-	-	-	0.0	0.85	-	-
4	S002	13	False	True	0.0	0.0	0.5	38.71	-	-	-	-	-	-	-	-	-	0.0	-	-	-	-	-	0.0	0.85	-	0.7222
5	S002	15	False	True	15.0	0.875	0.4	16.667	-	-	-	-	-	-	-	-	-	0.0	-	-	0.0	-	-	0.0	0.85	-	0.7222
6	S011	1	False	True	1.0	0.6567		52.055	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	S011	2	True	True	0.0	0.0	0.0	95.385	0.6567	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8	S011	3	True	True	0.0	0.0	0.5	87.931	0.6567	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	S011	4	True	True	0.0	0.0	0.667	36.364	0.6567	0.0	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
10	S011	11	False	False	110.0	1.0	0.75	11.111	0.6567	0.0	0.0	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	S011	5	False	False	110.0	1.0	0.6	46.341	0.6567	0.0	0.0	0.0	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-
12	S011	7	True	True	0.0	0.0	0.5	76.087	0.6567	0.0	0.0	0.0	1.0	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-
13	S011	6	True	True	0.0	0.0	0.571	88.889	0.6567	0.0	0.0	0.0	1.0	-	0.0	-	-	-	1.0	-	-	-	-	-	-	-	-
14	S011	8	True	True	0.0	0.0	0.625	24.39	0.6567	0.0	0.0	0.0	1.0	0.0	0.0	-	-	-	1.0	-	-	-	-	-	-	-	-
15	S011	9	False	False	110.0	1.0	0.667	16.216	0.6567	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-	-	1.0	-	-	-	-	-	-	-	-
16	S011	10	False	False	110.0	1.0	0.6	15.152	0.6567	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-	1.0	-	-	-	-	-	-	-	-
17	S011	16	True	True	0.0	0.0	0.545	75.0	0.6567	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	-	-	-	-	-	-	-	-
18	S011	18	False	True	29.0	0.95	0.583	40.909	0.6567	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	-	-	-	-	0.0	-	-	-
19	S011	22	False	True	2.0	0.6111	0.538	36.364	0.6567	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	-	-	-	-	0.0	0.95	-	-
20	S011	12	True	True	0.0	0.0	0.5	67.742	0.6567	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	-	-	-	-	0.0	0.95	-	0.6111
21	S011	13	False	True	2.0	0.72	0.533	38.71	0.6567	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	-	-	-	0.0	0.95	-	0.6111
22	S011	14	False	True	0.0	0.0	0.5	34.483	0.6567	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.72	-	-	0.0	0.95	-	0.6111
23	S011	15	True	True	0.0	0.0	0.471	16.667	0.6567	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.72	0.0	-	0.0	0.95	-	0.6111
24	S011	19	False	False	110.0	1.0	0.5	20.0	0.6567	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.72	0.0	0.0	0.0	0.95	-	0.6111
25	S014	1	False	True	0.0	0.0		52.055	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
26	S014	2	True	True	0.0	0.0	0.0	95.385	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
27	S014	3	True	True	0.0	0.0	0.5	87.931	0.0	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
28	S014	4	False	True	1.0	0.6944	0.667	36.364	0.0	0.0	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
